university,province,score,year
西南大学,安徽,527,2016
河北大学,安徽,557,2016
西南大学,安徽,569,2016
重庆大学,安徽,617,2016
西南大学,北京,593,2016
重庆大学,北京,623,2016
青海师范大学,福建,389,2016
西南大学,福建,479,2016
河北大学,福建,497,2016
青海大学,福建,555,2016
西南大学,福建,571,2016
燕山大学,福建,576,2016
重庆大学,福建,588,2016
青海大学,甘肃,487,2016
燕山大学,甘肃,520,2016
重庆大学,甘肃,595,2016
重庆大学,广东,581,2016
青海师范大学,广西,335,2016
青海大学,广西,480,2016
重庆大学,广西,598,2016
青海师范大学,贵州,430,2016
青海大学,贵州,460,2016
燕山大学,贵州,489,2016
重庆大学,贵州,603,2016
青海师范大学,海南,553,2016
青海大学,海南,612,2016
河北大学,海南,627,2016
燕山大学,海南,648,2016
重庆大学,海南,726,2016
河北大学,河北,567,2016
西南大学,河北,613,2016
重庆大学,河北,641,2016
西南大学,河南,557,2016
河北大学,河南,558,2016
重庆大学,河南,621,2016
河北大学,黑龙江,549,2016
西南大学,黑龙江,572,2016
西南大学,黑龙江,580,2016
重庆大学,黑龙江,610,2016
青海大学,湖北,527,2016
燕山大学,湖北,557,2016
重庆大学,湖北,626,2016
青海师范大学,湖南,450,2016
青海大学,湖南,535,2016
燕山大学,湖南,559,2016
重庆大学,湖南,602,2016
青海大学,吉林,525,2016
河北大学,吉林,530,2016
燕山大学,吉林,551,2016
西南大学,吉林,552,2016
重庆大学,吉林,605,2016
青海师范大学,江苏,315,2016
河北大学,江苏,343,2016
西南大学,江苏,366,2016
重庆大学,江苏,380,2016
青海师范大学,江西,466,2016
河北大学,江西,548,2016
西南大学,江西,561,2016
重庆大学,江西,602,2016
青海大学,辽宁,501,2016
河北大学,辽宁,547,2016
燕山大学,辽宁,550,2016
西南大学,辽宁,586,2016
西南大学,辽宁,604,2016
重庆大学,辽宁,618,2016
西南大学,内蒙古,503,2016
河北大学,内蒙古,511,2016
重庆大学,内蒙古,548,2016
西南大学,内蒙古,611,2016
重庆大学,宁夏,567,2016
青海大学,青海,263,2016
河北大学,青海,422,2016
燕山大学,青海,444,2016
重庆大学,青海,538,2016
青海大学,山东,582,2016
西南大学,山东,608,2016
燕山大学,山东,611,2016
西南大学,山东,612,2016
重庆大学,山东,636,2016
青海师范大学,山西,463,2016
河北大学,山西,527,2016
西南大学,山西,562,2016
西南大学,山西,568,2016
重庆大学,山西,597,2016
青海师范大学,陕西,439,2016
青海大学,陕西,510,2016
燕山大学,上海,396,2016
西南大学,上海,436,2016
青海大学,四川,547,2016
燕山大学,四川,561,2016
西南大学,天津,569,2016
燕山大学,天津,575,2016
西南大学,天津,595,2016
西南大学,新疆,546,2016
河北大学,云南,535,2016
燕山大学,浙江,621,2016
青海大学,浙江,621,2016
西南大学,浙江,639,2016
西南大学,浙江,648,2016
青海大学,重庆,597,2016
燕山大学,重庆,599,2016
青海师范大学,安徽,461,2017
广西师范大学,安徽,480,2017
青海大学,安徽,526,2017
河北大学,安徽,537,2017
燕山大学,安徽,551,2017
广西大学,安徽,552,2017
西南大学,安徽,567,2017
合肥工业大学,安徽,572,2017
重庆大学,安徽,596,2017
华中科技大学,安徽,625,2017
武汉大学,安徽,632,2017
中国政法大学,安徽,647,2017
哈尔滨工业大学,安徽,649,2017
北京理工大学,安徽,649,2017
华南理工大学,安徽,650,2017
北京师范大学,安徽,651,2017
天津大学,安徽,651,2017
厦门大学,安徽,653,2017
中山大学,安徽,653,2017
华中科技大学,安徽,654,2017
对外经济贸易大学,安徽,656,2017
东南大学,安徽,657,2017
南开大学,安徽,657,2017
武汉大学,安徽,657,2017
中国科学技术大学,安徽,658,2017
中央财经大学,安徽,659,2017
西安交通大学,安徽,663,2017
浙江大学医学院,安徽,664,2017
上海财经大学,安徽,665,2017
同济大学,安徽,666,2017
北京航空航天大学,安徽,667,2017
北京大学医学部,安徽,670,2017
南京大学,安徽,671,2017
中国科学技术大学,安徽,671,2017
上海交通大学医学院,安徽,673,2017
中国人民大学,安徽,673,2017
浙江大学,安徽,677,2017
复旦大学医学院,安徽,678,2017
上海交通大学,安徽,684,2017
复旦大学,安徽,685,2017
清华大学,安徽,689,2017
北京大学,安徽,693,2017
广西师范大学,北京,501,2017
北方工业大学,北京,537,2017
北京印刷学院,北京,537,2017
北京农学院,北京,537,2017
北京信息科技大学,北京,537,2017
湖南科技大学,北京,538,2017
长沙理工大学,北京,538,2017
湘潭大学,北京,539,2017
北京建筑大学,北京,540,2017
沈阳农业大学,北京,540,2017
陕西科技大学,北京,540,2017
青海大学,北京,542,2017
青海大学,北京,542,2017
北京中医药大学,北京,543,2017
华南农业大学,北京,543,2017
广州中医药大学,北京,543,2017
北京物资学院,北京,544,2017
中国石油大学(华东),北京,546,2017
东北农业大学,北京,548,2017
新疆大学,北京,548,2017
内蒙古大学,北京,549,2017
广西大学,北京,550,2017
南方医科大学,北京,550,2017
北京工商大学,北京,551,2017
北京建筑大学(中外合作专业),北京,552,2017
首都医科大学,北京,553,2017
海南大学,北京,553,2017
北京协和医学院,北京,554,2017
湖南师范大学,北京,554,2017
贵州大学,北京,554,2017
南京信息工程大学,北京,555,2017
东北林业大学,北京,557,2017
西安建筑科技大学,北京,557,2017
北京工商大学(中外合作专业),北京,557,2017
太原理工大学,北京,559,2017
华中农业大学,北京,559,2017
北京第二外国语学院,北京,560,2017
广东外语外贸大学,北京,561,2017
燕山大学,北京,562,2017
燕山大学,北京,562,2017
上海理工大学(中外合作专业),北京,562,2017
江苏大学,北京,563,2017
华中师范大学(中外合作专业),北京,563,2017
中国矿业大学,北京,565,2017
南京农业大学,北京,565,2017
大连海事大学,北京,566,2017
辽宁大学,北京,566,2017
东北师范大学,北京,566,2017
北京师范大学-香港浸会大学联合国际学院,北京,566,2017
中国石油大学(北京),北京,567,2017
首都师范大学,北京,567,2017
延边大学,北京,568,2017
合肥工业大学(中外合作专业),北京,568,2017
长安大学,北京,570,2017
东北师范大学(中外合作专业),北京,570,2017
上海理工大学,北京,571,2017
天津医科大学,北京,572,2017
中国地质大学(武汉),北京,572,2017
陕西师范大学,北京,573,2017
南京信息工程大学(中外合作专业),北京,573,2017
南昌大学,北京,574,2017
首都经济贸易大学,北京,575,2017
温州医科大学,北京,575,2017
福州大学,北京,575,2017
东北大学秦皇岛分校,北京,576,2017
南京中医药大学,北京,576,2017
郑州大学,北京,577,2017
武汉理工大学(中外合作专业),北京,577,2017
中国药科大学,北京,579,2017
成都中医药大学,北京,579,2017
南昌大学(中外合作专业),北京,579,2017
中国医科大学,北京,580,2017
合肥工业大学,北京,580,2017
安徽大学,北京,580,2017
西北农林科技大学,北京,580,2017
哈尔滨工程大学,北京,581,2017
河海大学,北京,581,2017
江南大学,北京,581,2017
西交利物浦大学,北京,581,2017
大连理工大学(盘锦校区)(中外合作专业),北京,581,2017
河北工业大学,北京,582,2017
哈尔滨医科大学,北京,582,2017
北京交通大学(威海校区),北京,582,2017
西南大学,北京,583,2017
西南大学,北京,583,2017
西南政法大学,北京,583,2017
北京化工大学(中外合作专业),北京,583,2017
西南交通大学(中外合作专业),北京,584,2017
合肥工业大学,北京,585,2017
西北大学,北京,585,2017
中国矿业大学(北京),北京,586,2017
天津中医药大学,北京,587,2017
武汉理工大学,北京,587,2017
北京工业大学北京－都柏林国际学院,北京,587,2017
中国海洋大学(中外合作专业),北京,587,2017
天津财经大学,北京,588,2017
大连理工大学(盘锦校区),北京,588,2017
重庆大学(中外合作专业),北京,589,2017
北京工业大学,北京,590,2017
东华大学,北京,592,2017
上海中医药大学,北京,594,2017
